top,seq,sredni_czas,mediana_czas,max_czas,stddevi,cluster_results_KMeans,cluster_results_KMedoids
-p-l-p,313,21310.0,16880.0,49900.0,23886.16056771508,1,2
-pd+l,124,32900.0,33020.0,52960.0,20347.081690830582,1,2
+p+p+p,341,7813.333333333333,5980.0,15460.0,6914.747524916101,1,2
+p+l+p,411,300393.3333333333,61340.0,1000000.0,432386.55610460415,2,0
+l+l+p,213,0.0,0.0,0.0,0.0,1,2
-p-p-l,123,547252.0,535800.0,1000000.0,437978.5668221169,2,0
-p-l-l,211,15490.0,14520.0,40240.0,14281.415896191807,1,2
-l-l-p,312,633552.7272727273,1000000.0,1000000.0,435132.2217692206,0,1
+p+p+p,331,0.0,0.0,0.0,0.0,1,2
-ld+l,142,20260.0,18980.0,23400.0,2734.7394757087923,1,2
-pd+l,243,599098.1818181818,955460.0,1000000.0,460510.9429713518,0,1
-l-p-l,123,2160.0,2160.0,2160.0,0.0,1,2
-l-p-p,333,172197.14285714287,35040.0,629080.0,249745.4150205956,3,3
+pd-l,231,96500.0,9670.0,365020.0,179107.8297190457,3,3
+p+p+l,441,219706.66666666663,18760.0,632300.0,357356.3579024911,3,0
-l-p-p,213,0.0,0.0,0.0,0.0,1,2
d+pd,433,552183.3333333334,730960.0,1000000.0,482607.6851916685,0,1
+p+l+l,234,228126.66666666663,52600.0,950860.0,316469.993206307,2,0
-l-l-l,121,0.0,0.0,0.0,0.0,1,2
-ld+p,132,0.0,0.0,0.0,0.0,1,2
-l-l-p,134,44487.5,27110.0,107240.0,45343.08696719143,1,3
-ld+p,212,0.0,0.0,0.0,0.0,1,2
-l-p-l,242,131396.0,59240.0,434920.0,176298.7245557948,3,3
-l-l-p,213,326358.1818181818,102620.0,1000000.0,439439.820540155,2,0
-l-p-l,134,11206.666666666666,14920.0,18120.0,9341.013506752535,1,2
-l-p-l,332,403692.0,12500.0,1000000.0,544366.2180187157,2,0
-ld+p,142,17772.0,18500.0,22960.0,5240.469444620396,1,2
+l+p+l,143,472970.0,337320.0,1000000.0,457425.0688364161,2,0
-p-p-l,134,511670.0,484470.0,1000000.0,432851.5430995208,2,0
-l-p-l,424,455776.0,295660.0,1000000.0,433981.2459644874,2,0
+pd-l,423,14010.0,14010.0,20860.0,9687.362902255702,1,2
-l-l-l,324,687046.6666666666,789000.0,789000.0,245276.832739637,0,1
-p-p-l,413,779173.3333333334,1000000.0,1000000.0,368355.88605026907,0,1
d-pd,413,178006.66666666666,61180.0,431120.0,219418.41885615105,3,3
-l-p-p,413,0.0,0.0,0.0,0.0,1,2
+l+p+p,134,455776.6666666667,321360.0,1000000.0,445474.7336344304,2,0
+ld-l,141,2490.0,1970.0,5340.0,2000.9664331684,1,2
-p-p-p,431,574190.0,412880.0,1000000.0,391664.8277197319,2,0
-pd+p,414,0.0,0.0,0.0,0.0,1,2
+l+l+p,133,273377.5,36750.0,1000000.0,449583.2878741316,2,0
+p+l+l,421,7390.0,7390.0,10880.0,4935.605332682102,1,2
-p-l-p,333,358620.0,187220.0,1000000.0,388335.92004860943,2,0
+p+p+l,312,0.0,0.0,0.0,0.0,1,2
-l-p-p,131,0.0,0.0,0.0,0.0,1,2
-p-p-l,431,28530.0,28530.0,54520.0,36755.41048607674,1,2
+p+l+p,111,0.0,0.0,0.0,0.0,1,2
d+pd,221,0.0,0.0,0.0,0.0,1,2
+p+p+l,422,169526.66666666666,205500.0,278140.0,130376.84047917918,3,3
-ld+p,114,0.0,0.0,0.0,0.0,1,2
+l+p+p,242,532180.0,583020.0,1000000.0,502663.2504115312,2,0
+p+l+l,213,31795.0,12460.0,98520.0,44685.08289500349,1,2
+l+l+p,413,122235.0,13490.0,461860.0,226655.00443037503,3,3
+l+l+p,313,52577.142857142855,16340.0,291020.0,105742.52971475665,3,3
-l-l-p,444,915575.0,1000000.0,1000000.0,262718.24785222946,0,1
-p-l-p,113,3280.0,3280.0,3280.0,0.0,1,2
-ld+p,324,32591.42857142857,27920.0,105460.0,34663.48291241155,1,2
+p+l+l,431,30225.0,32090.0,50380.0,23162.799917108467,1,2
-l-l-p,124,17186.666666666668,4580.0,45900.0,24927.97892596456,1,2
d+pd,321,0.0,0.0,0.0,0.0,1,2
+pd-p,433,219880.0,36840.0,1000000.0,368199.4895433724,2,0
+l+p+p,234,705608.3333333334,1000000.0,1000000.0,433271.2085735537,0,1
+p+l+l,133,0.0,0.0,0.0,0.0,1,2
+p+l+p,433,660420.0,1000000.0,1000000.0,452327.194141586,0,1
+pd-p,223,0.0,0.0,0.0,0.0,1,2
+p+p+p,212,0.0,0.0,0.0,0.0,1,2
-pd+p,341,574008.8888888889,817020.0,1000000.0,468560.4073234433,0,1
+ld-l,234,516470.0,413490.0,1000000.0,419281.2551801649,2,0
-p-p-l,412,59980.0,62500.0,149820.0,61187.625110529225,1,3
-p-p-l,112,57350.0,31080.0,212440.0,78012.50643326364,1,3
d+pd,441,0.0,0.0,0.0,0.0,1,2
+l+l+p,422,148602.22222222222,6860.0,622860.0,233177.14906149023,3,3
-l-l-p,331,811033.3333333334,1000000.0,1000000.0,380064.37612594,0,1
-l-l-p,143,15300.0,15770.0,27920.0,14548.1911819534,1,2
+ld-l,143,885800.0,1000000.0,1000000.0,323006.3776460149,0,1
-l-p-p,432,335806.6666666667,4320.0,1000000.0,575208.6231388863,2,0
-ld+l,233,87818.18181818182,47860.0,227000.0,78913.44344510406,3,3
-l-p-l,212,0.0,0.0,0.0,0.0,1,2
-p-l-l,421,347615.5555555556,34480.0,1000000.0,489372.1598924256,2,0
-l-p-l,211,0.0,0.0,0.0,0.0,1,2
+l+l+l,114,59830.0,59830.0,108180.0,68377.22574073914,1,3
+ld-p,221,346443.3333333333,65570.0,1000000.0,482982.5433560375,2,0
-l-p-p,123,7875.0,5370.0,20240.0,8756.47379561735,1,2
-p-p-p,344,600580.0,820960.0,1000000.0,444165.1690326676,0,1
+l+p+l,213,370600.0,232840.0,1000000.0,392215.6861982957,2,0
-p-l-l,113,1460.0,1460.0,1460.0,0.0,1,2
+l+l+p,414,23266.666666666668,16460.0,80160.0,25997.56527061717,1,2
-l-l-p,423,629357.5,1000000.0,1000000.0,511549.3608845862,0,1
+l+p+l,333,724476.6666666666,1000000.0,1000000.0,417088.9423205327,0,1
-l-l-l,144,33151.42857142857,16860.0,74200.0,29313.891717393097,1,2
+l+l+l,131,263955.0,57040.0,1000000.0,402684.1559549405,2,0
-l-l-l,234,818224.4444444445,1000000.0,1000000.0,364154.8645532252,0,1
d+pd,333,621128.0,786170.0,1000000.0,428207.4504723149,0,1
+p+l+l,312,669946.6666666666,933220.0,1000000.0,514919.69483923743,0,1
-l-p-l,143,9980.0,9980.0,9980.0,0.0,1,2
d-pd,124,0.0,0.0,0.0,0.0,1,2
+pd-l,224,0.0,0.0,0.0,0.0,1,2
-l-l-p,342,1000000.0,1000000.0,1000000.0,0.0,0,1
+p+l+p,442,538430.0,546830.0,1000000.0,446524.5879822603,2,0
+p+l+l,223,34020.0,19200.0,122260.0,50238.03937257106,1,3
+pd-p,234,27246.666666666668,29740.0,50100.0,24196.539697513224,1,2
+p+l+l,143,0.0,0.0,0.0,0.0,1,2
-l-l-l,443,673158.3333333334,1000000.0,1000000.0,438793.3453923453,0,1
+l+l+l,221,137656.66666666666,105820.0,302440.0,112678.7010338097,3,3
-ld+l,443,886953.3333333334,1000000.0,1000000.0,221311.9769725876,0,1
+p+p+l,243,13900.0,16380.0,23720.0,11266.605522516533,1,2
+l+l+p,314,363830.0,327770.0,785440.0,392864.6974892671,2,0
-l-l-l,134,22286.666666666668,10330.0,63740.0,25644.46970921152,1,2
-ld+l,323,36752.0,20060.0,108420.0,40337.51008676663,1,2
+p+p+l,214,0.0,0.0,0.0,0.0,1,2
d-pd,133,0.0,0.0,0.0,0.0,1,2
-p-p-l,443,192170.0,84480.0,1000000.0,304739.7580085525,2,0
-p-l-l,122,294904.44444444444,58420.0,1000000.0,422651.9107702907,2,0
-ld+l,333,471494.0,278510.0,1000000.0,466047.69494119374,2,0
-l-l-p,243,620836.3636363636,1000000.0,1000000.0,453584.79020515503,0,1
+pd-l,144,0.0,0.0,0.0,0.0,1,2
+p+l+p,144,0.0,0.0,0.0,0.0,1,2
-p-p-l,131,34895.0,27290.0,67720.0,22880.042977815112,1,2
+p+p+l,231,0.0,0.0,0.0,0.0,1,2
+p+p+p,122,0.0,0.0,0.0,0.0,1,2
d-pd,243,53140.0,21900.0,132740.0,69465.05308426676,1,3
+p+l+l,121,0.0,0.0,0.0,0.0,1,2
-l-p-l,112,0.0,0.0,0.0,0.0,1,2
+p+p+p,313,0.0,0.0,0.0,0.0,1,2
-p-p-p,323,857308.8888888889,1000000.0,1000000.0,309856.7474029105,0,1
-l-l-l,141,10920.0,10920.0,21200.0,14538.115421195416,1,2
-p-p-p,421,711436.6666666666,986930.0,1000000.0,377253.6624157022,0,1
-l-p-p,342,13400.0,13400.0,13400.0,0.0,1,2
-p-p-l,432,195976.36363636365,74860.0,869940.0,258663.8152998106,2,0
+l+l+l,144,509580.0,515310.0,1000000.0,537320.720017384,2,0
-p-l-l,432,670540.0,1000000.0,1000000.0,510397.5271099969,0,1
-ld+p,432,78673.33333333333,57280.0,192840.0,84874.52825593004,1,3
-l-p-l,244,544513.3333333334,566230.0,1000000.0,500571.4092781036,2,0
-l-l-p,322,710224.4444444445,1000000.0,1000000.0,435547.4759171241,0,1
-p-l-p,141,214360.0,171590.0,509080.0,235776.65872600707,3,3
