top,seq,sredni_czas,mediana_czas,max_czas,skladalnosc,obecnosc,n_600ns,n_1us,stddevi,etykieta
-p-p-p,114,483923.63636363635,237520.0,1000000.0,1.0,11,5,5,498473.3835877845,BARDZO STABILNY
-p-p-p,121,565808.8888888889,1000000.0,1000000.0,0.75,9,5,5,515031.63709728664,BARDZO STABILNY
-p-p-p,122,552660.0,597800.0,1000000.0,1.0,12,6,5,442671.0112692967,BARDZO STABILNY
-p-p-p,123,559932.0,722190.0,1000000.0,1.0,10,5,5,479939.49944642914,BARDZO STABILNY
-p-p-p,124,594278.1818181818,1000000.0,1000000.0,1.0,11,6,6,482728.10984690295,BARDZO STABILNY
-p-p-p,131,675455.0,886030.0,1000000.0,1.0,12,7,6,385285.9910743989,BARDZO STABILNY
-p-p-p,132,622151.6666666666,1000000.0,1000000.0,1.0,12,7,7,468760.58711599605,BARDZO STABILNY
-p-p-p,133,559153.3333333334,381100.0,1000000.0,1.0,9,4,4,433520.9760784361,BARDZO STABILNY
-p-p-p,134,404998.3333333333,171750.0,1000000.0,1.0,12,4,4,448326.66332877765,BARDZO STABILNY
-p-p-p,141,665750.0,772910.0,1000000.0,1.0,8,4,4,385854.39770536683,ŚREDNIO STABILNY
-p-p-p,142,669373.3333333334,1000000.0,1000000.0,0.75,3,2,2,572662.185003806,NIESTABILNY
-p-p-p,143,637091.6666666666,975140.0,1000000.0,1.0,12,7,6,455666.1612475306,BARDZO STABILNY
-p-p-p,144,606623.3333333334,769760.0,1000000.0,0.75,6,3,3,467549.28115297825,ŚREDNIO STABILNY
-p-p-p,211,636952.5,632050.0,1000000.0,0.5,8,4,2,361166.17480244266,ŚREDNIO STABILNY
-p-p-p,212,666787.2727272727,1000000.0,1000000.0,1.0,11,6,6,418293.60982666013,BARDZO STABILNY
-p-p-p,213,608920.0,924280.0,1000000.0,1.0,12,7,6,460325.182768561,BARDZO STABILNY
-p-p-p,214,757546.6666666666,1000000.0,1000000.0,1.0,12,7,7,321987.23513188964,BARDZO STABILNY
-p-p-p,221,703827.2727272727,1000000.0,1000000.0,1.0,11,8,7,447101.332252341,BARDZO STABILNY
-p-p-p,222,661741.8181818182,1000000.0,1000000.0,1.0,11,7,7,470580.8786981932,BARDZO STABILNY
-p-p-p,223,599791.6666666666,1000000.0,1000000.0,0.75,12,7,7,494838.24453200377,BARDZO STABILNY
-p-p-p,224,850821.8181818182,1000000.0,1000000.0,1.0,11,9,9,339932.6590317024,BARDZO STABILNY
-p-p-p,231,634361.8181818182,1000000.0,1000000.0,1.0,11,6,6,444190.6625272121,BARDZO STABILNY
-p-p-p,232,927840.0,1000000.0,1000000.0,0.75,9,8,7,204746.5342808029,BARDZO STABILNY
-p-p-p,233,698180.0,1000000.0,1000000.0,1.0,12,8,8,449799.0943844717,BARDZO STABILNY
-p-p-p,234,623542.2222222222,1000000.0,1000000.0,0.75,9,5,5,466747.2171791112,BARDZO STABILNY
-p-p-p,241,731866.6666666666,1000000.0,1000000.0,0.5,12,8,8,399549.42898978165,BARDZO STABILNY
-p-p-p,242,822410.0,1000000.0,1000000.0,1.0,12,10,9,351036.48880526266,BARDZO STABILNY
-p-p-p,243,764742.8571428572,1000000.0,1000000.0,0.5,7,5,5,411762.0828307809,ŚREDNIO STABILNY
-p-p-p,244,715333.3333333334,1000000.0,1000000.0,0.75,9,6,6,432760.79455052305,BARDZO STABILNY
-p-p-p,311,512822.85714285716,345120.0,1000000.0,1.0,7,3,3,469497.95078410744,ŚREDNIO STABILNY
-p-p-p,312,678260.0,1000000.0,1000000.0,1.0,12,8,8,475466.40565774037,BARDZO STABILNY
-p-p-p,313,792866.6666666666,1000000.0,1000000.0,0.75,12,9,8,355680.4870905483,BARDZO STABILNY
-p-p-p,314,723726.6666666666,943560.0,1000000.0,1.0,12,7,6,346396.794582412,BARDZO STABILNY
-p-p-p,321,544720.0,617610.0,1000000.0,1.0,12,6,4,421640.84975464386,BARDZO STABILNY
-p-p-p,322,850041.8181818182,1000000.0,1000000.0,1.0,11,9,8,326244.09149648005,BARDZO STABILNY
-p-p-p,323,857308.8888888889,1000000.0,1000000.0,1.0,9,8,6,309856.74740291055,BARDZO STABILNY
-p-p-p,324,566966.6666666666,719860.0,719860.0,1.0,12,9,0,259979.01206665032,ŚREDNIO STABILNY
-p-p-p,331,687031.6666666666,1000000.0,1000000.0,1.0,12,8,8,462546.37652167736,BARDZO STABILNY
-p-p-p,332,930936.6666666666,1000000.0,1000000.0,1.0,12,11,11,239242.4045467971,BARDZO STABILNY
-p-p-p,333,797435.0,1000000.0,1000000.0,1.0,12,9,9,375023.109893971,BARDZO STABILNY
-p-p-p,334,724871.6666666666,1000000.0,1000000.0,1.0,12,8,8,415738.89694534644,BARDZO STABILNY
-p-p-p,341,553295.0,728740.0,1000000.0,1.0,12,7,5,469609.55527873454,BARDZO STABILNY
-p-p-p,342,699763.3333333334,1000000.0,1000000.0,0.75,12,8,7,401174.3792085099,BARDZO STABILNY
-p-p-p,343,934541.6666666666,1000000.0,1000000.0,1.0,12,11,11,226754.3182242255,BARDZO STABILNY
-p-p-p,344,600580.0,820960.0,1000000.0,1.0,12,7,6,444165.1690326676,BARDZO STABILNY
-p-p-p,411,627262.0,1000000.0,1000000.0,0.75,10,6,6,484995.93422809,BARDZO STABILNY
-p-p-p,412,530913.3333333334,322820.0,1000000.0,1.0,9,4,4,455019.3360726553,BARDZO STABILNY
-p-p-p,413,681748.3333333334,1000000.0,1000000.0,1.0,12,8,8,470859.5502971779,BARDZO STABILNY
-p-p-p,414,692550.9090909091,1000000.0,1000000.0,1.0,11,7,6,429689.03494165506,BARDZO STABILNY
-p-p-p,421,711436.6666666666,986930.0,1000000.0,1.0,12,8,6,377253.6624157022,BARDZO STABILNY
-p-p-p,422,642990.0,1000000.0,1000000.0,1.0,12,7,7,443922.7418041444,BARDZO STABILNY
-p-p-p,423,640306.6666666666,769750.0,1000000.0,1.0,12,6,6,392933.16011142597,BARDZO STABILNY
